dataset	model	run	windows_size	strategy	mask_ratio	epochs	learning_rate	batch	precision	recall	f1
conll2003	google-bert/bert-base-cased	42	0	no_mask	0.0	5	3e-06	16	0.889493071390984	0.8978399433427762	0.8936470173583575
conll2003	google-bert/bert-base-cased	42	0	no_mask	0.0	5	5e-06	16	0.9027606822577809	0.9089943342776204	0.9058667842964271
conll2003	google-bert/bert-base-cased	42	0	no_mask	0.0	5	3e-05	16	0.9110720562390158	0.9178470254957507	0.914446992414888
conll2003	google-bert/bert-base-cased	42	0	no_mask	0.0	5	5e-05	16	0.9107800175284838	0.919971671388102	0.9153527701929005
conll2003	google-bert/bert-base-cased	42	0	no_mask	0.0	7	3e-06	16	0.9025505716798593	0.9084631728045326	0.9054972205064854
conll2003	google-bert/bert-base-cased	42	0	no_mask	0.0	7	5e-06	16	0.9065354884047786	0.9135977337110481	0.91005291005291
conll2003	google-bert/bert-base-cased	42	0	no_mask	0.0	7	3e-05	16	0.9137537326541366	0.9210339943342776	0.91737941980425
conll2003	google-bert/bert-base-cased	42	0	no_mask	0.0	7	5e-05	16	0.9097929097929098	0.9178470254957507	0.9138022210470651
conll2003	google-bert/bert-base-cased	42	0	no_mask	0.0	10	3e-06	16	0.9064811553363861	0.9112960339943342	0.9088822179057037
conll2003	google-bert/bert-base-cased	42	0	no_mask	0.0	10	5e-06	16	0.9057463209530483	0.9153682719546742	0.9105318774216272
conll2003	google-bert/bert-base-cased	42	0	no_mask	0.0	10	3e-05	16	0.910591955032496	0.9178470254957507	0.9142050965523322
conll2003	google-bert/bert-base-cased	42	0	no_mask	0.0	10	5e-05	16	0.91427565569442	0.9196175637393768	0.9169388295524761
conll2003	FacebookAI/roberta-base	42	0	no_mask	0.0	5	3e-06	16	0.9078694817658349	0.9212110481586402	0.914491607346867
conll2003	FacebookAI/roberta-base	42	0	no_mask	0.0	5	5e-06	16	0.9114365411436541	0.9256373937677054	0.9184820801124384
conll2003	FacebookAI/roberta-base	42	0	no_mask	0.0	5	3e-05	16	0.9159693165969317	0.9302407932011332	0.9230498945888967
conll2003	FacebookAI/roberta-base	42	0	no_mask	0.0	5	5e-05	16	0.9133624454148471	0.925814447592068	0.9195462938538643
conll2003	FacebookAI/roberta-base	42	0	no_mask	0.0	7	3e-06	16	0.9115028800837842	0.9245750708215298	0.9179924408895139
conll2003	FacebookAI/roberta-base	42	0	no_mask	0.0	7	5e-06	16	0.9182995101469559	0.9293555240793201	0.9237944385779654
conll2003	FacebookAI/roberta-base	42	0	no_mask	0.0	7	3e-05	16	0.916170808540427	0.9268767705382436	0.9214926949480724
conll2003	FacebookAI/roberta-base	42	0	no_mask	0.0	7	5e-05	16	0.9168417366946778	0.9272308781869688	0.922007042253521
conll2003	FacebookAI/roberta-base	42	0	no_mask	0.0	10	3e-06	16	0.9151239958085924	0.9277620396600567	0.9213996834886584
conll2003	FacebookAI/roberta-base	42	0	no_mask	0.0	10	5e-06	16	0.915910676901605	0.9295325779036827	0.922671353251318
conll2003	FacebookAI/roberta-base	42	0	no_mask	0.0	10	3e-05	16	0.9164915966386554	0.9268767705382436	0.9216549295774648
conll2003	FacebookAI/roberta-base	42	0	no_mask	0.0	10	5e-05	16	0.912099457187883	0.9222733711048159	0.9171582005458226
conll2003	FacebookAI/xlm-roberta-base	42	0	no_mask	0.0	5	3e-06	16	0.8865347574855542	0.8964235127478754	0.8914517122986179
conll2003	FacebookAI/xlm-roberta-base	42	0	no_mask	0.0	5	5e-06	16	0.8979663394109397	0.9068696883852692	0.9023960535588443
conll2003	FacebookAI/xlm-roberta-base	42	0	no_mask	0.0	5	3e-05	16	0.9101733496760638	0.9203257790368272	0.9152214103354168
conll2003	FacebookAI/xlm-roberta-base	42	0	no_mask	0.0	5	5e-05	16	0.8989669059709333	0.9089943342776204	0.9039528127476011
conll2003	FacebookAI/xlm-roberta-base	42	0	no_mask	0.0	7	3e-06	16	0.8947092718700891	0.9072237960339944	0.9009230769230769
conll2003	FacebookAI/xlm-roberta-base	42	0	no_mask	0.0	7	5e-06	16	0.8993534859339507	0.9112960339943342	0.9052853750769501
conll2003	FacebookAI/xlm-roberta-base	42	0	no_mask	0.0	7	3e-05	16	0.9058413251961639	0.9197946175637394	0.9127646490380392
conll2003	FacebookAI/xlm-roberta-base	42	0	no_mask	0.0	7	5e-05	16	0.9085344526058062	0.9197946175637394	0.9141298609889142
conll2003	FacebookAI/xlm-roberta-base	42	0	no_mask	0.0	10	3e-06	16	0.8993699684984249	0.9098796033994334	0.9045942615736665
conll2003	FacebookAI/xlm-roberta-base	42	0	no_mask	0.0	10	5e-06	16	0.9049449589376202	0.9169617563739377	0.9109137279043181
conll2003	FacebookAI/xlm-roberta-base	42	0	no_mask	0.0	10	3e-05	16	0.9079131652661064	0.9182011331444759	0.9130281690140845
conll2003	FacebookAI/xlm-roberta-base	42	0	no_mask	0.0	10	5e-05	16	0.9054220038603263	0.9135977337110481	0.9094914955494843
wnut_17	google-bert/bert-base-cased	42	0	no_mask	0.0	5	3e-06	16	0.3872549019607843	0.1464318813716404	0.2125084061869536
wnut_17	google-bert/bert-base-cased	42	0	no_mask	0.0	5	5e-06	16	0.5353535353535354	0.29471733086190915	0.3801554094441123
wnut_17	google-bert/bert-base-cased	42	0	no_mask	0.0	5	3e-05	16	0.5886627906976745	0.3753475440222428	0.4584040747028863
wnut_17	google-bert/bert-base-cased	42	0	no_mask	0.0	5	5e-05	16	0.6360808709175739	0.3790546802594995	0.47502903600464574
wnut_17	google-bert/bert-base-cased	42	0	no_mask	0.0	7	3e-06	16	0.501779359430605	0.26135310472659873	0.34369287020109696
wnut_17	google-bert/bert-base-cased	42	0	no_mask	0.0	7	5e-06	16	0.5467511885895404	0.31974050046339203	0.4035087719298246
wnut_17	google-bert/bert-base-cased	42	0	no_mask	0.0	7	3e-05	16	0.5623188405797102	0.35959221501390176	0.43866591294516677
wnut_17	google-bert/bert-base-cased	42	0	no_mask	0.0	7	5e-05	16	0.5962099125364432	0.3790546802594995	0.4634560906515581
wnut_17	google-bert/bert-base-cased	42	0	no_mask	0.0	10	3e-06	16	0.5634028892455859	0.3253012048192771	0.4124559341950647
wnut_17	google-bert/bert-base-cased	42	0	no_mask	0.0	10	5e-06	16	0.5695067264573991	0.3531047265987025	0.43592677345537756
wnut_17	google-bert/bert-base-cased	42	0	no_mask	0.0	10	3e-05	16	0.6012269938650306	0.3632993512511585	0.4529173887926054
wnut_17	google-bert/bert-base-cased	42	0	no_mask	0.0	10	5e-05	16	0.5759768451519537	0.36886005560704355	0.4497175141242938
wnut_17	FacebookAI/roberta-base	42	0	no_mask	0.0	5	3e-06	16	0.3645058448459086	0.3178869323447637	0.3396039603960396
wnut_17	FacebookAI/roberta-base	42	0	no_mask	0.0	5	5e-06	16	0.5427509293680297	0.40593141797961074	0.464475079533404
wnut_17	FacebookAI/roberta-base	42	0	no_mask	0.0	5	3e-05	16	0.6707768187422934	0.5041705282669138	0.5756613756613758
wnut_17	FacebookAI/roberta-base	42	0	no_mask	0.0	5	5e-05	16	0.6754385964912281	0.4995366079703429	0.5743207245604689
wnut_17	FacebookAI/roberta-base	42	0	no_mask	0.0	7	3e-06	16	0.5349369988545246	0.432808155699722	0.47848360655737704
wnut_17	FacebookAI/roberta-base	42	0	no_mask	0.0	7	5e-06	16	0.5814977973568282	0.4893419833178869	0.5314544539506795
wnut_17	FacebookAI/roberta-base	42	0	no_mask	0.0	7	3e-05	16	0.6674757281553398	0.5097312326227988	0.5780346820809248
wnut_17	FacebookAI/roberta-base	42	0	no_mask	0.0	7	5e-05	16	0.66796875	0.47544022242817424	0.5554953979426097
wnut_17	FacebookAI/roberta-base	42	0	no_mask	0.0	10	3e-06	16	0.5665529010238908	0.46153846153846156	0.508682328907048
wnut_17	FacebookAI/roberta-base	42	0	no_mask	0.0	10	5e-06	16	0.6199095022624435	0.5078776645041705	0.5583290881304126
wnut_17	FacebookAI/roberta-base	42	0	no_mask	0.0	10	3e-05	16	0.6658385093167701	0.49675625579240035	0.5690021231422504
wnut_17	FacebookAI/roberta-base	42	0	no_mask	0.0	10	5e-05	16	0.690179806362379	0.46246524559777574	0.5538290788013318
wnut_17	FacebookAI/xlm-roberta-base	42	0	no_mask	0.0	5	3e-06	16	0.26903553299492383	0.19647822057460612	0.22710230316014995
wnut_17	FacebookAI/xlm-roberta-base	42	0	no_mask	0.0	5	5e-06	16	0.40238450074515647	0.25023169601482853	0.30857142857142855
wnut_17	FacebookAI/xlm-roberta-base	42	0	no_mask	0.0	5	3e-05	16	0.6162927981109799	0.48378127896200185	0.5420560747663551
wnut_17	FacebookAI/xlm-roberta-base	42	0	no_mask	0.0	5	5e-05	16	0.6192959582790091	0.4402224281742354	0.514626218851571
wnut_17	FacebookAI/xlm-roberta-base	42	0	no_mask	0.0	7	3e-06	16	0.5184174624829468	0.35217794253938833	0.4194260485651214
wnut_17	FacebookAI/xlm-roberta-base	42	0	no_mask	0.0	7	5e-06	16	0.5890603085553997	0.38924930491195553	0.46875
wnut_17	FacebookAI/xlm-roberta-base	42	0	no_mask	0.0	7	3e-05	16	0.6253196930946292	0.4531974050046339	0.5255239118753359
wnut_17	FacebookAI/xlm-roberta-base	42	0	no_mask	0.0	7	5e-05	16	0.6161202185792349	0.41797961075069506	0.4980673660960795
wnut_17	FacebookAI/xlm-roberta-base	42	0	no_mask	0.0	10	3e-06	16	0.5658465991316932	0.3623725671918443	0.44180790960451977
wnut_17	FacebookAI/xlm-roberta-base	42	0	no_mask	0.0	10	5e-06	16	0.6160493827160494	0.46246524559777574	0.5283218634197988
wnut_17	FacebookAI/xlm-roberta-base	42	0	no_mask	0.0	10	3e-05	16	0.6361355081555834	0.46987951807228917	0.5405117270788913
wnut_17	FacebookAI/xlm-roberta-base	42	0	no_mask	0.0	10	5e-05	16	0.6743849493487699	0.4318813716404078	0.5265536723163842
