dataset	model	run	windows_size	strategy	mask_ratio	epochs	learning_rate	batch	precision	recall	f1
conll2003	FacebookAI/roberta-base	1	1	windows	0.01	7	5e-06	16	0.9147043432757719	0.9284702549575071	0.9215358931552587
conll2003	FacebookAI/roberta-base	2	1	windows	0.01	7	5e-06	16	0.9183423675467739	0.9298866855524079	0.9240784727720595
conll2003	FacebookAI/roberta-base	1	1	windows	0.03	7	5e-06	16	0.9149159663865546	0.9252832861189801	0.9200704225352112
conll2003	FacebookAI/roberta-base	2	1	windows	0.03	7	5e-06	16	0.9135759272218335	0.9245750708215298	0.9190425906370997
conll2003	FacebookAI/roberta-base	1	1	windows	0.05	7	5e-06	16	0.9153550192374956	0.9266997167138811	0.9209924335738167
conll2003	FacebookAI/roberta-base	2	1	windows	0.05	7	5e-06	16	0.9140010487676979	0.925814447592068	0.9198698214442783
conll2003	FacebookAI/roberta-base	1	1	windows	0.05	7	5e-06	16	0.9146703969225389	0.9261685552407932	0.9203835664643266
conll2003	FacebookAI/roberta-base	2	1	windows	0.05	7	5e-06	16	0.9176285414480587	0.9290014164305949	0.923279957768784
conll2003	FacebookAI/roberta-base	1	1	windows	0.1	7	5e-06	16	0.9124125874125875	0.9240439093484419	0.9181914144968333
conll2003	FacebookAI/roberta-base	2	1	windows	0.1	7	5e-06	16	0.9130738348751963	0.9261685552407932	0.9195745802935748
conll2003	FacebookAI/roberta-base	1	1	windows	0.2	7	5e-06	16	0.9104061356109465	0.9247521246458924	0.9175230566534914
conll2003	FacebookAI/roberta-base	2	1	windows	0.2	7	5e-06	16	0.9137357830271217	0.9245750708215298	0.9191234709143712
conll2003	FacebookAI/roberta-base	1	1	windows	0.3	7	5e-06	16	0.9167690956979807	0.9243980169971672	0.9205677510358812
conll2003	FacebookAI/roberta-base	2	1	windows	0.3	7	5e-06	16	0.913614858945155	0.9231586402266289	0.9183619550858652
conll2003	FacebookAI/roberta-base	1	1	windows	0.4	7	5e-06	16	0.9104451454609184	0.9197946175637394	0.915096001409195
conll2003	FacebookAI/roberta-base	2	1	windows	0.4	7	5e-06	16	0.9075174825174825	0.9190864022662889	0.9132653061224489
conll2003	FacebookAI/roberta-base	1	1	windows	0.5	7	5e-06	16	0.9123268455199018	0.9212110481586402	0.9167474231345255
conll2003	FacebookAI/roberta-base	2	1	windows	0.5	7	5e-06	16	0.9119607155384076	0.9206798866855525	0.9162995594713657
conll2003	FacebookAI/roberta-base	1	1	windows	0.6	7	5e-06	16	0.911232202496045	0.9178470254957507	0.9145276528182058
conll2003	FacebookAI/roberta-base	2	1	windows	0.6	7	5e-06	16	0.913081650570676	0.9206798866855525	0.9168650268888302
conll2003	FacebookAI/roberta-base	1	1	windows	0.7	7	5e-06	16	0.9123393768702693	0.9176699716713881	0.9149969105834584
conll2003	FacebookAI/roberta-base	2	1	windows	0.7	7	5e-06	16	0.9136411702502644	0.9178470254957507	0.9157392686804451
conll2003	FacebookAI/roberta-base	1	1	windows	0.8	7	5e-06	16	0.9112215909090909	0.9086402266288952	0.9099290780141844
conll2003	FacebookAI/roberta-base	2	1	windows	0.8	7	5e-06	16	0.9121346324180691	0.9116501416430595	0.911892322677765
conll2003	FacebookAI/roberta-base	1	1	windows	0.9	7	5e-06	16	0.9054222222222222	0.9017351274787535	0.903574913510157
conll2003	FacebookAI/roberta-base	2	1	windows	0.9	7	5e-06	16	0.9093666369313114	0.902443342776204	0.9058917621967476
conll2003	FacebookAI/roberta-base	1	1	windows	1.0	7	5e-06	16	0.8485735186539868	0.20538243626062322	0.33071988595866
conll2003	FacebookAI/roberta-base	2	1	windows	1.0	7	5e-06	16	0.8289473684210527	0.18962464589235128	0.30864553314121035
conll2003	FacebookAI/roberta-base	1	1	outside	0.01	7	5e-06	16	0.9152097902097902	0.9268767705382436	0.9210063335679098
conll2003	FacebookAI/roberta-base	2	1	outside	0.01	7	5e-06	16	0.9167539267015706	0.9300637393767706	0.9233608718579716
conll2003	FacebookAI/roberta-base	1	1	outside	0.03	7	5e-06	16	0.9117082533589251	0.9251062322946175	0.9183583794709552
conll2003	FacebookAI/roberta-base	2	1	outside	0.03	7	5e-06	16	0.9135974864723337	0.9266997167138811	0.9201019600949284
conll2003	FacebookAI/roberta-base	1	1	outside	0.05	7	5e-06	16	0.9138714185883997	0.9261685552407932	0.9199788955328878
conll2003	FacebookAI/roberta-base	2	1	outside	0.05	7	5e-06	16	0.9143356643356644	0.9259915014164306	0.9201266713581985
conll2003	FacebookAI/roberta-base	1	1	outside	0.05	7	5e-06	16	0.9152097902097902	0.9268767705382436	0.9210063335679098
conll2003	FacebookAI/roberta-base	2	1	outside	0.05	7	5e-06	16	0.916579223504722	0.9279390934844193	0.9222241773711068
conll2003	FacebookAI/roberta-base	1	1	outside	0.1	7	5e-06	16	0.9129144851657941	0.9261685552407932	0.9194937598875021
conll2003	FacebookAI/roberta-base	2	1	outside	0.1	7	5e-06	16	0.9180786026200873	0.9305949008498584	0.9242943814297019
conll2003	FacebookAI/roberta-base	1	1	outside	0.2	7	5e-06	16	0.9126196692776327	0.9282932011331445	0.9203897129816554
conll2003	FacebookAI/roberta-base	2	1	outside	0.2	7	5e-06	16	0.9163604549431321	0.9272308781869688	0.9217636187626508
conll2003	FacebookAI/roberta-base	1	1	outside	0.3	7	5e-06	16	0.9154880391129736	0.9282932011331445	0.921846153846154
conll2003	FacebookAI/roberta-base	2	1	outside	0.3	7	5e-06	16	0.9143554857840572	0.9281161473087819	0.9211844301906686
conll2003	FacebookAI/roberta-base	1	1	outside	0.4	7	5e-06	16	0.9123450323031256	0.9251062322946175	0.9186813186813186
conll2003	FacebookAI/roberta-base	2	1	outside	0.4	7	5e-06	16	0.9143805696313122	0.9265226628895185	0.9204115733005013
conll2003	FacebookAI/roberta-base	1	1	outside	0.5	7	5e-06	16	0.9115337637410574	0.9249291784702549	0.9181826171016785
conll2003	FacebookAI/roberta-base	2	1	outside	0.5	7	5e-06	16	0.9115896358543417	0.9219192634560907	0.9167253521126759
conll2003	FacebookAI/roberta-base	1	1	outside	0.6	7	5e-06	16	0.913986013986014	0.9256373937677054	0.9197748064743139
conll2003	FacebookAI/roberta-base	2	1	outside	0.6	7	5e-06	16	0.9140857392825896	0.9249291784702549	0.919475490627475
conll2003	FacebookAI/roberta-base	1	1	outside	0.7	7	5e-06	16	0.9149755073477956	0.9259915014164306	0.9204505455825414
conll2003	FacebookAI/roberta-base	2	1	outside	0.7	7	5e-06	16	0.9138202837624803	0.9236898016997167	0.9187285374658801
conll2003	FacebookAI/roberta-base	1	1	outside	0.8	7	5e-06	16	0.9122960884055429	0.9208569405099151	0.9165565248039476
conll2003	FacebookAI/roberta-base	2	1	outside	0.8	7	5e-06	16	0.9146811492641906	0.9243980169971672	0.9195139133497711
conll2003	FacebookAI/roberta-base	1	1	outside	0.9	7	5e-06	16	0.9113456464379948	0.9173158640226629	0.9143210094414542
conll2003	FacebookAI/roberta-base	2	1	outside	0.9	7	5e-06	16	0.915299100052938	0.9183781869688386	0.9168360583296509
conll2003	FacebookAI/roberta-base	1	1	outside	1.0	7	5e-06	16	0.9232201986754967	0.7898371104815864	0.8513358778625955
conll2003	FacebookAI/roberta-base	2	1	outside	1.0	7	5e-06	16	0.9218654121497238	0.7979815864022662	0.8554617063680364
conll2003	FacebookAI/roberta-base	1	2	windows	0.01	7	5e-06	16	0.9150052465897167	0.9263456090651558	0.920640506774591
conll2003	FacebookAI/roberta-base	2	2	windows	0.01	7	5e-06	16	0.9119343001922069	0.9240439093484419	0.917949168938528
conll2003	FacebookAI/roberta-base	1	2	windows	0.03	7	5e-06	16	0.9139015019210618	0.9265226628895185	0.9201688060488833
conll2003	FacebookAI/roberta-base	2	2	windows	0.03	7	5e-06	16	0.9160851360781577	0.9297096317280453	0.9228471001757469
conll2003	FacebookAI/roberta-base	1	2	windows	0.05	7	5e-06	16	0.9132563833508219	0.9245750708215298	0.918880872778462
conll2003	FacebookAI/roberta-base	2	2	windows	0.05	7	5e-06	16	0.9138413142257952	0.925814447592068	0.9197889182058048
conll2003	FacebookAI/roberta-base	1	2	windows	0.05	7	5e-06	16	0.9143356643356644	0.9259915014164306	0.9201266713581985
conll2003	FacebookAI/roberta-base	2	2	windows	0.05	7	5e-06	16	0.9138111888111888	0.9254603399433428	0.9195988740323716
conll2003	FacebookAI/roberta-base	1	2	windows	0.1	7	5e-06	16	0.9112157683586255	0.9249291784702549	0.9180212635093576
conll2003	FacebookAI/roberta-base	2	2	windows	0.1	7	5e-06	16	0.9142657586869216	0.9270538243626062	0.9206153846153847
conll2003	FacebookAI/roberta-base	1	2	windows	0.2	7	5e-06	16	0.9126416739319965	0.9266997167138811	0.9196169726785557
conll2003	FacebookAI/roberta-base	2	2	windows	0.2	7	5e-06	16	0.9124432016777351	0.9243980169971672	0.9183817062445031
conll2003	FacebookAI/roberta-base	1	2	windows	0.3	7	5e-06	16	0.9101378467981155	0.9235127478753541	0.9167765181474646
conll2003	FacebookAI/roberta-base	2	2	windows	0.3	7	5e-06	16	0.9138294138294139	0.9219192634560907	0.917856513308655
conll2003	FacebookAI/roberta-base	1	2	windows	0.4	7	5e-06	16	0.9103194103194103	0.9183781869688386	0.9143310417768377
conll2003	FacebookAI/roberta-base	2	2	windows	0.4	7	5e-06	16	0.9114811568799299	0.9206798866855525	0.91605742975425
conll2003	FacebookAI/roberta-base	1	2	windows	0.5	7	5e-06	16	0.9137206860343017	0.9243980169971672	0.9190283400809718
conll2003	FacebookAI/roberta-base	2	2	windows	0.5	7	5e-06	16	0.9110370240393051	0.9192634560906515	0.9151317528862254
conll2003	FacebookAI/roberta-base	1	2	windows	0.6	7	5e-06	16	0.9070990359333918	0.9162535410764873	0.9116533074958161
conll2003	FacebookAI/roberta-base	2	2	windows	0.6	7	5e-06	16	0.9068953447672383	0.9174929178470255	0.9121633515226192
conll2003	FacebookAI/roberta-base	1	2	windows	0.7	7	5e-06	16	0.9115371086880056	0.9176699716713881	0.914593259220046
conll2003	FacebookAI/roberta-base	2	2	windows	0.7	7	5e-06	16	0.9091068917018285	0.9155453257790368	0.9123147494707128
conll2003	FacebookAI/roberta-base	1	2	windows	0.8	7	5e-06	16	0.909459221419764	0.914128895184136	0.9117880794701988
conll2003	FacebookAI/roberta-base	2	2	windows	0.8	7	5e-06	16	0.9105188845746558	0.9134206798866855	0.9119674739261092
conll2003	FacebookAI/roberta-base	1	2	windows	0.9	7	5e-06	16	0.9008132956152758	0.9020892351274787	0.901450813871196
conll2003	FacebookAI/roberta-base	2	2	windows	0.9	7	5e-06	16	0.9056904804112746	0.9045679886685553	0.9051288865267075
conll2003	FacebookAI/roberta-base	1	2	windows	1.0	7	5e-06	16	0.8010610079575596	0.10694050991501416	0.1886910340518588
conll2003	FacebookAI/roberta-base	2	2	windows	1.0	7	5e-06	16	0.7817638266068759	0.09259915014164306	0.1655849295551686
