dataset	model	run	windows_size	strategy	mask_ratio	epochs	learning_rate	batch	precision	recall	f1
conll2003	FacebookAI/roberta-base	1	0	entity	0.01	7	5e-06	16	0.9145000872448089	0.9279390934844193	0.9211705773793831
conll2003	FacebookAI/roberta-base	2	0	entity	0.01	7	5e-06	16	0.9146703969225389	0.9261685552407932	0.9203835664643266
conll2003	FacebookAI/roberta-base	1	0	entity	0.03	7	5e-06	16	0.9183566433566434	0.9300637393767706	0.9241731175228713
conll2003	FacebookAI/roberta-base	2	0	entity	0.03	7	5e-06	16	0.9180672268907563	0.9284702549575071	0.9232394366197183
conll2003	FacebookAI/roberta-base	1	0	entity	0.05	7	5e-06	16	0.9174842326559215	0.9272308781869688	0.9223318069742866
conll2003	FacebookAI/roberta-base	2	0	entity	0.05	7	5e-06	16	0.915660542432196	0.9265226628895185	0.9210595793364428
conll2003	FacebookAI/roberta-base	1	0	entity	0.1	7	5e-06	16	0.9167542937259026	0.9261685552407932	0.9214373788973049
conll2003	FacebookAI/roberta-base	2	0	entity	0.1	7	5e-06	16	0.9148861646234676	0.9249291784702549	0.9198802606092622
conll2003	FacebookAI/roberta-base	1	0	entity	0.2	7	5e-06	16	0.9146811492641906	0.9243980169971672	0.9195139133497711
conll2003	FacebookAI/roberta-base	2	0	entity	0.2	7	5e-06	16	0.9123729407641079	0.921742209631728	0.9170336445305619
conll2003	FacebookAI/roberta-base	1	0	entity	0.3	7	5e-06	16	0.9139502278303541	0.9233356940509915	0.9186189889025894
conll2003	FacebookAI/roberta-base	2	0	entity	0.3	7	5e-06	16	0.9148973504123531	0.9231586402266289	0.9190094298052349
conll2003	FacebookAI/roberta-base	1	0	entity	0.4	7	5e-06	16	0.9090909090909091	0.9189093484419264	0.9139737606762349
conll2003	FacebookAI/roberta-base	2	0	entity	0.4	7	5e-06	16	0.9152452962897837	0.9215651558073654	0.9183943537715042
conll2003	FacebookAI/roberta-base	1	0	entity	0.5	7	5e-06	16	0.9080540445692227	0.9162535410764873	0.9121353661760818
conll2003	FacebookAI/roberta-base	2	0	entity	0.5	7	5e-06	16	0.909952606635071	0.9178470254957507	0.9138827677390922
conll2003	FacebookAI/roberta-base	1	0	entity	0.5	7	5e-06	16	0.9105576990529639	0.9192634560906515	0.9148898678414097
conll2003	FacebookAI/roberta-base	2	0	entity	0.5	7	5e-06	16	0.9119097956307258	0.9164305949008499	0.914164606146238
conll2003	FacebookAI/roberta-base	1	0	entity	0.6	7	5e-06	16	0.910321786530684	0.9166076487252125	0.9134539038376709
conll2003	FacebookAI/roberta-base	2	0	entity	0.6	7	5e-06	16	0.9101261387526279	0.9197946175637394	0.914934836209933
conll2003	FacebookAI/roberta-base	1	0	entity	0.7	7	5e-06	16	0.9025893958076449	0.9072237960339944	0.9049006622516557
conll2003	FacebookAI/roberta-base	2	0	entity	0.7	7	5e-06	16	0.8994364212750968	0.90421388101983	0.9018188239449054
conll2003	FacebookAI/roberta-base	1	0	entity	0.8	7	5e-06	16	0.9024822695035462	0.9012039660056658	0.901842664776754
conll2003	FacebookAI/roberta-base	2	0	entity	0.8	7	5e-06	16	0.9032429558745348	0.902443342776204	0.902842972278806
conll2003	FacebookAI/roberta-base	1	0	entity	0.9	7	5e-06	16	0.8895431834403997	0.8826133144475921	0.8860646996089584
conll2003	FacebookAI/roberta-base	2	0	entity	0.9	7	5e-06	16	0.8815648445873526	0.8737606232294618	0.877645385025787
conll2003	FacebookAI/roberta-base	1	0	entity	1.0	7	5e-06	16	0.16666666666666666	0.0003541076487252125	0.000706713780918728
conll2003	FacebookAI/roberta-base	2	0	entity	1.0	7	5e-06	16	0.0	0.0	0.0
conll2003	FacebookAI/xlm-roberta-base	1	0	entity	0.01	5	3e-05	16	0.9084063047285464	0.9183781869688386	0.913365029054411
conll2003	FacebookAI/xlm-roberta-base	2	0	entity	0.01	5	3e-05	16	0.9093295991598109	0.9197946175637394	0.9145321714637795
conll2003	FacebookAI/xlm-roberta-base	1	0	entity	0.03	5	3e-05	16	0.9053864987757957	0.9166076487252125	0.9109625197958824
conll2003	FacebookAI/xlm-roberta-base	2	0	entity	0.03	5	3e-05	16	0.9076248904469764	0.9167847025495751	0.9121818021668281
conll2003	FacebookAI/xlm-roberta-base	1	0	entity	0.05	5	3e-05	16	0.9073264556740689	0.9187322946175638	0.9129937538488608
conll2003	FacebookAI/xlm-roberta-base	2	0	entity	0.05	5	3e-05	16	0.9044708347886832	0.9169617563739377	0.9106734657991912
conll2003	FacebookAI/xlm-roberta-base	1	0	entity	0.1	5	3e-05	16	0.9111228440689898	0.9166076487252125	0.9138570167696383
conll2003	FacebookAI/xlm-roberta-base	2	0	entity	0.1	5	3e-05	16	0.911997189531003	0.9192634560906515	0.9156159068865178
conll2003	FacebookAI/xlm-roberta-base	1	0	entity	0.2	5	3e-05	16	0.9037114845938375	0.9139518413597734	0.9088028169014085
conll2003	FacebookAI/xlm-roberta-base	2	0	entity	0.2	5	3e-05	16	0.9045375218150087	0.9176699716713881	0.9110564246792054
conll2003	FacebookAI/xlm-roberta-base	1	0	entity	0.3	5	3e-05	16	0.9100649920955559	0.9173158640226629	0.9136760426770125
conll2003	FacebookAI/xlm-roberta-base	2	0	entity	0.3	5	3e-05	16	0.9121574139142656	0.9192634560906515	0.9156966490299824
conll2003	FacebookAI/xlm-roberta-base	1	0	entity	0.4	5	3e-05	16	0.9012822764798876	0.9084631728045326	0.904858478088352
conll2003	FacebookAI/xlm-roberta-base	2	0	entity	0.4	5	3e-05	16	0.9034410112359551	0.9111189801699717	0.9072637517630466
conll2003	FacebookAI/xlm-roberta-base	1	0	entity	0.5	5	3e-05	16	0.9034300791556729	0.9093484419263456	0.9063795993999824
conll2003	FacebookAI/xlm-roberta-base	2	0	entity	0.5	5	3e-05	16	0.9068290100582319	0.9098796033994334	0.9083517454706143
conll2003	FacebookAI/xlm-roberta-base	1	0	entity	0.5	5	3e-05	16	0.9048122686409307	0.9088172804532578	0.9068103524423637
conll2003	FacebookAI/xlm-roberta-base	2	0	entity	0.5	5	3e-05	16	0.9048965882976843	0.9063385269121813	0.9056169836355594
conll2003	FacebookAI/xlm-roberta-base	1	0	entity	0.6	5	3e-05	16	0.8936245156745333	0.898371104815864	0.895991523927247
conll2003	FacebookAI/xlm-roberta-base	2	0	entity	0.6	5	3e-05	16	0.9026922400140771	0.90828611898017	0.9054805401111994
conll2003	FacebookAI/xlm-roberta-base	1	0	entity	0.7	5	3e-05	16	0.8982332155477032	0.9001416430594901	0.8991864166961443
conll2003	FacebookAI/xlm-roberta-base	2	0	entity	0.7	5	3e-05	16	0.8999118942731278	0.90421388101983	0.9020577585445553
conll2003	FacebookAI/xlm-roberta-base	1	0	entity	0.8	5	3e-05	16	0.8998220640569395	0.8953611898016998	0.897586084487043
conll2003	FacebookAI/xlm-roberta-base	2	0	entity	0.8	5	3e-05	16	0.8976602964815146	0.8898725212464589	0.8937494442962567
conll2003	FacebookAI/xlm-roberta-base	1	0	entity	0.9	5	3e-05	16	0.8816568047337278	0.8705736543909348	0.8760801781737193
conll2003	FacebookAI/xlm-roberta-base	2	0	entity	0.9	5	3e-05	16	0.8793599424667385	0.8659702549575071	0.8726137377341658
conll2003	FacebookAI/xlm-roberta-base	1	0	entity	1.0	5	3e-05	16	0.0	0.0	0.0
conll2003	FacebookAI/xlm-roberta-base	2	0	entity	1.0	5	3e-05	16	0.0	0.0	0.0
conll2003	google-bert/bert-base-cased	1	0	entity	0.01	7	3e-05	16	0.9130891887156124	0.9226274787535411	0.9178335535006606
conll2003	google-bert/bert-base-cased	2	0	entity	0.01	7	3e-05	16	0.9103013314646111	0.919971671388102	0.9151109545614653
conll2003	google-bert/bert-base-cased	1	0	entity	0.03	7	3e-05	16	0.9147847565278758	0.9180240793201133	0.9164015553199011
conll2003	google-bert/bert-base-cased	2	0	entity	0.03	7	3e-05	16	0.9146835889300194	0.9187322946175638	0.9167034714247858
conll2003	google-bert/bert-base-cased	1	0	entity	0.05	7	3e-05	16	0.9126537785588752	0.9194405099150141	0.9160345739989416
conll2003	google-bert/bert-base-cased	2	0	entity	0.05	7	3e-05	16	0.9169904627340163	0.9192634560906515	0.9181255526083112
conll2003	google-bert/bert-base-cased	1	0	entity	0.1	7	3e-05	16	0.9132572431957858	0.9208569405099151	0.9170413470863088
conll2003	google-bert/bert-base-cased	2	0	entity	0.1	7	3e-05	16	0.9168877099911583	0.9180240793201133	0.9174555427762541
conll2003	google-bert/bert-base-cased	1	0	entity	0.2	7	3e-05	16	0.9118423367939469	0.9174929178470255	0.9146589003618392
conll2003	google-bert/bert-base-cased	2	0	entity	0.2	7	3e-05	16	0.9202475685234306	0.9213881019830028	0.9208174820844024
conll2003	google-bert/bert-base-cased	1	0	entity	0.3	7	3e-05	16	0.9158861989750839	0.9176699716713881	0.9167772176527814
conll2003	google-bert/bert-base-cased	2	0	entity	0.3	7	3e-05	16	0.9157560803665844	0.919971671388102	0.9178590355060944
conll2003	google-bert/bert-base-cased	1	0	entity	0.4	7	3e-05	16	0.9133203608703343	0.914128895184136	0.9137244491637909
conll2003	google-bert/bert-base-cased	2	0	entity	0.4	7	3e-05	16	0.9143665958952583	0.9150141643059491	0.9146902654867256
conll2003	google-bert/bert-base-cased	1	0	entity	0.5	7	3e-05	16	0.9153476791748177	0.9112960339943342	0.9133173631443527
conll2003	google-bert/bert-base-cased	2	0	entity	0.5	7	3e-05	16	0.9180181785777937	0.9120042492917847	0.9150013322675192
conll2003	google-bert/bert-base-cased	1	0	entity	0.5	7	3e-05	16	0.9151666369631082	0.9091713881019831	0.9121591615596412
conll2003	google-bert/bert-base-cased	2	0	entity	0.5	7	3e-05	16	0.91616125579736	0.9093484419263456	0.9127421361293763
conll2003	google-bert/bert-base-cased	1	0	entity	0.6	7	3e-05	16	0.9069191293576359	0.9074008498583569	0.9071599256571378
conll2003	google-bert/bert-base-cased	2	0	entity	0.6	7	3e-05	16	0.9108858057630737	0.9066926345609065	0.9087843833185448
conll2003	google-bert/bert-base-cased	1	0	entity	0.7	7	3e-05	16	0.9056402979780064	0.9040368271954674	0.9048378522062732
conll2003	google-bert/bert-base-cased	2	0	entity	0.7	7	3e-05	16	0.9051862413117091	0.8992563739376771	0.9022115640820677
conll2003	google-bert/bert-base-cased	1	0	entity	0.8	7	3e-05	16	0.909796139274761	0.8928824362606232	0.9012599410240373
conll2003	google-bert/bert-base-cased	2	0	entity	0.8	7	3e-05	16	0.9124258226937602	0.898371104815864	0.9053439200642341
conll2003	google-bert/bert-base-cased	1	0	entity	0.9	7	3e-05	16	0.9048766920081587	0.8640226628895185	0.8839779005524862
conll2003	google-bert/bert-base-cased	2	0	entity	0.9	7	3e-05	16	0.8970642201834862	0.8656161473087819	0.8810596503874571
conll2003	google-bert/bert-base-cased	1	0	entity	1.0	7	3e-05	16	0.0	0.0	0.0
conll2003	google-bert/bert-base-cased	2	0	entity	1.0	7	3e-05	16	0.0	0.0	0.0
wnut_17	FacebookAI/roberta-base	1	0	entity	0.01	7	3e-05	16	0.6806615776081425	0.49582947173308617	0.5737265415549598
wnut_17	FacebookAI/roberta-base	2	0	entity	0.01	7	3e-05	16	0.6965699208443272	0.4893419833178869	0.5748502994011976
wnut_17	FacebookAI/roberta-base	1	0	entity	0.03	7	3e-05	16	0.667098445595855	0.4772937905468026	0.5564559697460832
wnut_17	FacebookAI/roberta-base	2	0	entity	0.03	7	3e-05	16	0.6751918158567775	0.4893419833178869	0.5674368619022031
wnut_17	FacebookAI/roberta-base	1	0	entity	0.05	7	3e-05	16	0.6666666666666666	0.494902687673772	0.5680851063829787
wnut_17	FacebookAI/roberta-base	2	0	entity	0.05	7	3e-05	16	0.6998706338939198	0.5013901760889713	0.5842332613390929
wnut_17	FacebookAI/roberta-base	1	0	entity	0.1	7	3e-05	16	0.6734955185659411	0.48748841519925856	0.5655913978494623
wnut_17	FacebookAI/roberta-base	2	0	entity	0.1	7	3e-05	16	0.6932153392330384	0.4355885078776645	0.5350028457598179
wnut_17	FacebookAI/roberta-base	1	0	entity	0.2	7	3e-05	16	0.6536585365853659	0.49675625579240035	0.564507635597683
wnut_17	FacebookAI/roberta-base	2	0	entity	0.2	7	3e-05	16	0.6897001303780965	0.4902687673772011	0.5731310942578548
wnut_17	FacebookAI/roberta-base	1	0	entity	0.3	7	3e-05	16	0.6851595006934813	0.4578313253012048	0.5488888888888889
wnut_17	FacebookAI/roberta-base	2	0	entity	0.3	7	3e-05	16	0.6737967914438503	0.46709916589434664	0.5517241379310346
wnut_17	FacebookAI/roberta-base	1	0	entity	0.4	7	3e-05	16	0.6743243243243243	0.46246524559777574	0.548653106102254
wnut_17	FacebookAI/roberta-base	2	0	entity	0.4	7	3e-05	16	0.6740638002773925	0.45041705282669137	0.54
wnut_17	FacebookAI/roberta-base	1	0	entity	0.5	7	3e-05	16	0.6782729805013927	0.45134383688600554	0.542014468558709
wnut_17	FacebookAI/roberta-base	2	0	entity	0.5	7	3e-05	16	0.6447876447876448	0.4643188137164041	0.5398706896551725
wnut_17	FacebookAI/roberta-base	1	0	entity	0.5	7	3e-05	16	0.7013177159590044	0.4439295644114921	0.543700340522134
wnut_17	FacebookAI/roberta-base	2	0	entity	0.5	7	3e-05	16	0.6345431789737171	0.46987951807228917	0.5399361022364217
wnut_17	FacebookAI/roberta-base	1	0	entity	0.6	7	3e-05	16	0.6937321937321937	0.45134383688600554	0.5468837731611454
wnut_17	FacebookAI/roberta-base	2	0	entity	0.6	7	3e-05	16	0.7071320182094082	0.4318813716404078	0.5362485615650172
wnut_17	FacebookAI/roberta-base	1	0	entity	0.7	7	3e-05	16	0.6943231441048034	0.44207599629286376	0.5402038505096263
wnut_17	FacebookAI/roberta-base	2	0	entity	0.7	7	3e-05	16	0.6733436055469953	0.40500463392029656	0.5057870370370371
wnut_17	FacebookAI/roberta-base	1	0	entity	0.8	7	3e-05	16	0.6955782312925171	0.3790546802594995	0.4907018596280744
wnut_17	FacebookAI/roberta-base	2	0	entity	0.8	7	3e-05	16	0.6842105263157895	0.3855421686746988	0.49318316538233553
wnut_17	FacebookAI/roberta-base	1	0	entity	0.9	7	3e-05	16	0.7333333333333333	0.3160333642261353	0.44170984455958545
wnut_17	FacebookAI/roberta-base	2	0	entity	0.9	7	3e-05	16	0.6932849364791288	0.3540315106580167	0.46871165644171786
wnut_17	FacebookAI/roberta-base	1	0	entity	1.0	7	3e-05	16	0.0	0.0	0.0
wnut_17	FacebookAI/roberta-base	2	0	entity	1.0	7	3e-05	16	0.0	0.0	0.0
wnut_17	FacebookAI/xlm-roberta-base	1	0	entity	0.01	5	3e-05	16	0.6238993710691824	0.45968489341983315	0.5293489861259338
wnut_17	FacebookAI/xlm-roberta-base	2	0	entity	0.01	5	3e-05	16	0.6671177266576455	0.4569045412418906	0.5423542354235424
wnut_17	FacebookAI/xlm-roberta-base	1	0	entity	0.03	5	3e-05	16	0.630188679245283	0.4643188137164041	0.5346851654215581
